Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Conférence,Conference,39,51,Convention Center,London,27,0.27,39,Bus,489.15,124,Vegetarian,51,10.09,17.83,3913.77
Formation,Product Launch,35,1316,Outdoor,Dubai,5,1.88,35,Walking,180.46,16,Non-Vegetarian,1316,11.32,23.64,4840.42
Networking,Workshop,22,1936,Office,Dubai,36,1.89,22,Car,19.95,310,Vegetarian,1936,12.93,32.11,5041.26
Conférence,Product Launch,23,1518,Outdoor,Paris,6,1.39,23,Plane,62.21,345,Mixed,1518,14.15,9.2,9303.22
Product Launch,Workshop,30,10,Outdoor,Dubai,40,0.97,30,Walking,101.18,276,Non-Vegetarian,10,11.33,21.12,681.9
Lancement de Produit,Corporate Training,16,660,Office,New York,29,0.78,16,Bus,118.04,131,Vegan,660,5.31,25.21,1829.79
Fundraiser,Workshop,40,1954,Office,Dubai,25,1.58,40,Walking,148.02,272,Vegan,1954,7.43,7.36,2773.58
Networking,Fundraiser,3,1856,Hotel,Paris,33,1.12,3,Car,7.32,395,Vegetarian,1856,18.47,18.47,3520.51
Corporate Training,Workshop,33,1505,Hotel,New York,45,1.04,33,Plane,419.06,235,Non-Vegetarian,1505,14.79,45.52,30780.1
Workshop,Fundraiser,27,1992,Convention Center,London,15,0.24,27,Car,59.84,58,Vegan,1992,7.53,4.08,2792.67
Lancement de Produit,Seminar,48,118,Convention Center,Dubai,12,0.42,48,Train,364.04,431,Mixed,118,13.91,47.19,6814.21
Networking,Corporate Training,23,59,Office,Tokyo,5,1.4,23,Bicycle,330.4,104,Vegetarian,59,11.24,37.32,266.12
Réunion du Conseil,Workshop,43,457,Office,Paris,36,0.26,43,Train,494.72,143,Vegan,457,9.39,43.18,3593.18
Lancement de Produit,Networking Event,42,849,Outdoor,Dubai,32,1.27,42,Train,198.71,15,Mixed,849,10.3,15.64,3147.05
Conference,Board Meeting,43,252,Outdoor,Berlin,19,1.76,43,Train,380.19,26,Vegetarian,252,10.39,11.45,1536.04
Conférence,Corporate Training,22,537,Hotel,London,47,0.9,22,Bus,366.3,223,Vegetarian,537,0.7,49.44,6272.17
Team Building,Fundraiser,36,903,Hotel,Dubai,22,0.1,36,Car,395.41,208,Non-Vegetarian,903,19.45,26.74,20563.99
Seminar,Product Launch,6,1494,Office,Sydney,29,1.89,6,Plane,449.77,36,Vegan,1494,10.97,26.19,5780.68
Networking Event,Product Launch,38,1587,Convention Center,Sydney,21,0.34,38,Bicycle,110.92,294,Vegetarian,1587,17.7,16.02,2583.6
Réunion du Conseil,Workshop,24,1315,Office,Paris,38,1.36,24,Bus,399.26,182,Non-Vegetarian,1315,1.4,35.35,9656.08
Fundraiser,Workshop,28,1265,Coworking Space,New York,6,0.55,28,Plane,462.12,338,Vegetarian,1265,11.72,12.1,41040.48
Fundraiser,Conference,39,1042,Convention Center,London,24,0.66,39,Plane,134.37,329,Vegetarian,1042,2.57,9.94,12948.83
Seminar,Board Meeting,15,615,Convention Center,Tokyo,23,0.19,15,Car,110.7,131,Vegetarian,615,3.33,17.58,4042.45
Networking,Board Meeting,1,513,Hotel,London,9,1.11,1,Plane,318.86,451,Mixed,513,19.24,43.01,37363.46
Corporate Training,Team Building,44,953,Convention Center,Tokyo,8,0.88,44,Plane,157.03,195,Vegetarian,953,9.98,32.84,9325.23
Networking Event,Product Launch,29,272,Office,Berlin,45,1.84,29,Train,87.84,174,Non-Vegetarian,272,16.06,3.98,2804.05
Fundraiser,Workshop,20,1911,Convention Center,Dubai,8,1.41,20,Car,216.96,440,Mixed,1911,8.83,1.52,24958.1
Networking,Workshop,38,990,Office,Sydney,35,1.85,38,Bicycle,441.64,194,Mixed,990,10.43,12.1,3750.31
Networking,Product Launch,13,110,Hotel,Tokyo,38,0.6,13,Car,123.78,348,Vegetarian,110,19.99,35.26,9469.54
Team Building,Product Launch,27,1578,Convention Center,Sydney,8,0.2,27,Plane,332.07,335,Vegetarian,1578,9.06,37.66,30292.9
Corporate Training,Team Building,9,959,Coworking Space,Berlin,17,1.76,9,Bicycle,356.03,77,Vegetarian,959,17.19,17.82,1643.16
